# Server version 0.08 running on 142.157.26.107:8123
# Game ID: 80
# Board class: pentago_swap.PentagoBoard
# Timeout: 2000
# First Move Timeout: 30000
# Date: Sun Mar 31 21:22:34 EDT 2019
# Player 1: Player-0, 'Human', running on 142.157.26.107
# Player 2: Player-1, '260732931', running on 142.157.26.107
START Player-0 Human
START Player-1 260732931
1 2 BL BR 0
0 0 TL BL 1
2 3 BR BL 0
0 0 TL BL 1
2 2 TR TL 0
0 0 TL BL 1
2 0 TL TR 0
0 0 TL BL 1
3 2 BR TR 0
GAMEOVER TIMEOUT WINNER 0
# Game ended: Sun Mar 31 21:22:45 EDT 2019
