# Server version 0.08 running on 142.157.26.244:8123
# Game ID: 201
# Board class: pentago_swap.PentagoBoard
# Timeout: 2000
# First Move Timeout: 30000
# Date: Wed Apr 03 16:47:08 EDT 2019
# Player 1: Player-0, 'RandomPlayer', running on 142.157.26.244
# Player 2: Player-1, '260732931', running on 142.157.26.244
START Player-0 RandomPlayer
START Player-1 260732931
5 4 BL BR 0
0 0 TL TR 1
5 0 TR BL 0
0 5 TR BL 1
5 5 TR BL 0
0 4 TR BL 1
0 4 TR BL 0
3 3 TL TR 1
0 0 TL TR 0
3 4 TL TR 1
1 3 TL BL 0
3 5 TL TR 1
GAMEOVER WINNER 1
# Game ended: Wed Apr 03 16:47:16 EDT 2019
