# Server version 0.08 running on macbook-pro-3:8123
# Game ID: 267
# Board class: pentago_swap.PentagoBoard
# Timeout: 2000
# First Move Timeout: 30000
# Date: Thu Apr 04 15:26:41 EDT 2019
# Player 1: Player-0, 'Human', running on macbook-pro-3
# Player 2: Player-1, 'RandomPlayer', running on macbook-pro-3
START Player-0 Human
START Player-1 RandomPlayer
3 3 BL BR 0
3 1 TL TR 1
2 0 BR TR 0
2 1 TL TR 1
1 3 TR TL 0
1 1 TL TR 1
4 0 TR TL 0
0 0 TL TR 1
5 0 TR TL 0
GAMEOVER WINNER 0
# Game ended: Thu Apr 04 15:26:57 EDT 2019
